,ENTITY,ACTUAL YEAR,RECORDS LOST,ORGANISATION,METHOD OF LEAK,DATA SENSITIVITY
222,World Check,2016,2200000,media,poor security,300
223,uTorrent ,2016,35000,web,hacked,1
224,Banner Health,2016,3700000,healthcare,hacked,300
225,Privatization Agency of the Republic of Serbia,2016,5190396,government,accidentally published,20
226,Quest Diagnostics,2017,34000,healthcare,hacked,4000
227,Three,2017,200000,telecoms,hacked,20
228,Wonga,2017,270000,financial,hacked,50000
229,PayAsUGym,2017,300000,web,hacked,1
230,Red Cross Blood Service,2017,550000,healthcare,accidentally published,4000
231,DaFont,2017,700000,web,hacked,4000
232,Brazzers,2017,790724,web,hacked,4000
233,Snapchat,2017,1700000,app,hacked,1
234,Bell,2017,1900000,telecoms,hacked,1
235,Cellebrite,2017,3000000,tech,hacked,20
236,Clinton campaign,2017,5000000,government,hacked,20
237,ClixSense,2017,6600000,web,hacked,50000
238,Lynda.com,2017,9500000,web,hacked,1
239,Interpark,2017,10000000,web,hacked,20
240,Zomato,2017,17000000,web,hacked,4000
241,Yahoo,2017,32000000,web,hacked,4000
242,Weebly,2017,43000000,web,hacked,4000
243,Dailymotion,2017,85200000,web,hacked,1
244,Friend Finder Network,2017,412000000,web,hacked,1
245,River City Media,2017,1370000000,web,accidentally published,20
246,Telegram ,2017,15000000,tech,hacked,1
247,Waterly,2017,1000000,app,poor security,300
248,CEX,2017,2000000,retail,accidentally published,300
249,Swedish Transport Agency,2017,3000000,government,poor security,50000
250,Instagram,2017,6000000,web,hacked,1
251,Equifax,2017,143000000,financial,hacked,50000
252,Spambot,2017,711000000,web,poor security,4000
