Date,Open,High,Low,Close,Volume,dates
7/27/17,142.57,142.94,139.12,142.68,1210522,7/27/17
7/28/17,142.92,145.6,142.54,145.09,703954,7/28/17
7/31/17,,,145.26,145.44,729663,7/31/17
8/1/17,146,146.5,145.44,146.26,452814,8/1/17
8/2/17,146,146.25,144.79,145.49,651753,8/2/17
8/3/17,145.46,145.46,143.95,144.94,594068,8/3/17
8/4/17,145.27,145.56,144.57,145.43,404308,8/4/17
8/7/17,145.36,145.63,144.61,145.47,588741,8/7/17
8/8/17,144.97,145.32,142.2,142.37,623544,8/8/17
8/9/17,142.37,143.33,141.9,142.94,394583,8/9/17
8/10/17,142.14,142.88,141.42,142.06,452675,8/10/17
8/11/17,141.93,142.83,141.28,141.35,351561,8/11/17
8/14/17,142.16,143.2,141.64,142.81,387359,8/14/17
8/15/17,142.87,143.25,141.86,142.88,467956,8/15/17
8/16/17,143.18,143.41,142.5,143,485766,8/16/17
8/17/17,142.94,143.15,140.58,140.63,381584,8/17/17
8/18/17,140.9,141,139.73,139.89,530586,8/18/17
8/21/17,140.07,140.33,139.14,139.84,391294,8/21/17
8/22/17,139.81,142.36,139.46,142.22,609388,8/22/17
8/23/17,141.37,142.41,140.76,140.98,281627,8/23/17
8/24/17,141.23,141.23,140.15,140.38,221816,8/24/17
8/25/17,141.12,141.18,140.39,140.7,304007,8/25/17
8/28/17,141,141.28,140.09,140.62,476730,8/28/17
8/29/17,140.07,141.11,139.75,140.8,321917,8/29/17
8/30/17,140.57,141.71,140.56,141.42,221695,8/30/17
8/31/17,141.78,143.27,141.77,142.47,425417,8/31/17
9/1/17,142.73,143.37,141.59,141.59,363111,9/1/17
9/5/17,141.42,142.49,140.57,141.1,495148,9/5/17
9/6/17,141.58,142.14,141.02,141.39,452254,9/6/17
9/7/17,141.45,143.27,141.35,142.72,518521,9/7/17
9/8/17,121.82,125.5,117.25,123.23,16854687,9/8/17
9/11/17,121.53,122,111.17,113.12,9825546,9/11/17
9/12/17,112.97,116.08,112.18,115.96,6939119,9/12/17
9/13/17,116.55,116.75,98.04,98.99,17508859,9/13/17
9/14/17,98.69,100.75,89.59,96.66,34582442,9/14/17
9/15/17,94.4,95.69,90.72,92.98,16707681,9/15/17
9/18/17,93,95.06,92.08,94.38,10873790,9/18/17
9/19/17,92.5,95.35,91.88,94.87,7847041,9/19/17
9/20/17,95,97.41,93.1,96,8760523,9/20/17
9/21/17,96.5,98.47,95.25,98.25,5483575,9/21/17
9/22/17,100.1,105.2,99.8,105.04,12473475,9/22/17
9/25/17,106.23,107.17,104.51,105.09,8059352,9/25/17
9/26/17,102.79,106.15,101.74,106.05,7616767,9/26/17
9/27/17,107,108.99,106,106.44,7595727,9/27/17
9/28/17,106.43,106.52,103.78,106.37,3780250,9/28/17
9/29/17,106,107.6,105.72,105.99,3735854,9/29/17
10/2/17,106.09,108.61,106,107.81,3666990,10/2/17
10/3/17,108,112.46,107.08,110.45,6579348,10/3/17
10/4/17,110.55,112.09,108.77,111.93,3979342,10/4/17
10/5/17,111.85,113.64,110.78,112.97,3275656,10/5/17
10/6/17,113.17,113.43,110.9,111.34,2929581,10/6/17
