,date,plane_type,loc,country,ref,airline,fat,px,cat,phase,cert,meta,cause
247,2001-09-11,Boeing 767-223ER,"New York, NY",USA,N334AA,American Airlines,1692,216,H1,en_route,confirmed,criminal,intentionally crashed
248,2001-09-12,Let L-410UVP-E,near Chichén Itzá,Mexico,XA-ACM,Aero Ferinco,19,32,A1,initial_climb,suspected,mechanical,mechanical failure
249,2001-09-15,Fokker 100,near Belo Horizon,Brazil,PT-MRN,TAM Brasil,1,15,A2,en_route,probable,mechanical,engine failure
250,2001-09-18,Let L-410UVP-E,Guatemala City-La Aurora Airport,Guatemala,TG-CFE,Atlantic Airlines,8,24,A1,takeoff,suspected,human_error,pilot error
251,2001-10-04,Tupolev 154M,"off Adler, Russia",Black Sea,RA-85693,Sibir Airlines,78,54,C1,en_route,confirmed,human_error,shot down
252,2001-10-08,McDonnell Douglas MD-87,Milano-Linate Airport,Italy,SE-DMA,Scandinavian Airlines System - SAS,114,63,A1,takeoff,suspected,human_error,pilot error
253,2001-11-12,Airbus A300B4-605R,"Belle Harbor, NY",USA,N14053,American Airlines,265,91,A1,en_route,suspected,human_error,pilot error
254,2001-11-19,Ilyushin 18V,near Kalyazin,Russia,RA-75840,IRS Aero,27,36,A1,en_route,suspected,human_error,pilot error
255,2001-11-24,Avro RJ.100,near Zürich-Kloten,Switzerland,HB-IXM,Crossair,24,34,A1,approach,probable,human_error,pilot error
256,2001-12-16,Let L-410UVP-E,near San Antonio,Colombia,HK-4175X,Heliandes,16,30,A1,en_route,suspected,human_error,pilot error
257,2002-01-16,Boeing 737-3Q8,near Yokyakarta,Indonesia,PK-GWA,Garuda,1,15,A1,approach,probable,weather,bad weather
258,2002-01-17,Fairchild FH-227E,Cerro El Tigre,Colombia,HC-AYM,Petroproduccion,26,35,A1,en_route,suspected,human_error,pilot & crew error
259,2002-01-28,Boeing 727-134,near Ipiales,Colombia,HC-BLF,TAME Ecuador,94,58,A1,approach,suspected,human_error,pilot error
260,2002-02-12,Tupolev 154M,near Sarab-e Do Rah,Iran,EP-MBS,Iran Air Tours,119,65,A1,approach,suspected,weather,bad weather
261,2002-03-14,Antonov 2R,El Huerto,Cuba,CU-T1020,Aerotaxi,16,30,A1,en_route,confirmed,mechanical,wing loss
262,2002-04-15,Boeing 767-2J6ER,near Pusan-Kimhae Airport ,South Korea,B-2552,Air China,129,67,A1,approach,confirmed,weather,bad weather
263,2002-05-04,BAC One-Eleven 525FT,Kano,Nigeria,5N-ESF,EAS Airlines,149,71,A1,en_route,probable,mechanical,aircraft stalled
264,2002-05-07,Boeing 737-566,near Tunis-Carthage Airport ,Tunisia,SU-GBI,EgyptAir,14,29,A1,approach,unknown,unknown,unknown
265,2002-05-07,MD-82,near Dalian,China,B-2138,China Northern,112,63,A1,approach,probable,criminal,fire in the cabin/ insurance fraud
266,2002-05-25,DHC-6 Twin Otter 300,near Nabire,Indonesia,PK-YPZ,Trigana Air Service,6,22,A1,en_route,confirmed,weather,bad weather
267,2002-05-25,Boeing 747-209B,near Penghu Island,Pacific Ocean (Taiwan Straight),B-18255,China Airlines,225,85,A1,en_route,probable,mechanical,structural failure
268,2002-07-01,Tupolev 154M,Überlingen,Germany,RA-85816,Bashkirskie Avialinii,69,52,A1,en_route,confirmed,human_error,atc error
269,2002-07-17,DHC-6 Twin Otter 300,near Surkhet Airport,Nepal,9N-AGF,Skyline Airways,4,20,A1,en_route,confirmed,weather,bad weather
270,2002-08-22,DHC-6 Twin Otter 300,near Pokhara,Nepal,9N-AFR,Shangri-La Air,18,31,A1,approach,confirmed,weather,bad weather
271,2002-08-29,Antonov 28,near Ayan,Russia,RA-28932,Vostok Aviakompania,16,30,A1,approach,confirmed,weather,bad weather
272,2002-08-30,Embraer 120ER Brasilia,Rio Branco-Pres. Medici Airport,Brazil,PT-WRQ,Rico Linhas Aéreas,23,34,A1,approach,suspected,weather,bad weather
273,2002-09-28,DHC-3 Otter,"near Natashquan, QC",Canada,C-FLGA,Deraps Aviation,3,19,A1,approach,probable,human_error,pilot error
274,2002-10-25,Beechcraft A100 King Air,near Eveleth-Virginia Municipal Airport,USA,N41BE,Aviation Charter,8,24,A1,approach,probable,human_error,crew error
275,2002-11-06,Fokker 50,near Niederanven,Luxembourg,LX-LGB,Luxair,20,32,A1,approach,suspected,human_error,crew error
276,2002-11-11,Fokker F-27 Friendship 600,near Manila Ninoy Aquino International Airport,Philippines,RP-C6888,Laoag,19,32,A1,en_route,confirmed,mechanical,engine trouble
277,2002-11-28,Let L-410UVP-E20,Mara Intrepids,Kenya,5Y-ONT,Eagle Aviation,1,15,A1,approach,probable,mechanical,engine trouble
278,2002-12-23,Antonov 140,near Baghrabad,Iran,UR-14003,Aeromist Kharkiv,44,43,A1,en_route,confirmed,human_error,pilot error
279,2002-12-27,Let L-410UVP,near Anjouan,Comoros,9XR-RB,Ocean Airlines,1,15,A1,approach,confirmed,weather,thunderstorm
280,2003-01-08,Beechcraft 1900D,Charlotte-Do...,USA,N233YV,"Air Midwest, operating for US Airways Express",21,33,A1,takeoff,confirmed,human_error,airline error
281,2003-01-08,Avro RJ.100,Diyarbakir Airport,Turkey,TC-THG,Turkish Airlines,75,53,A1,approach,confirmed,weather,low visibility
282,2003-01-09,Fokker F-28 Fellowship 1000,near Chachapoyas,Peru,OB-1396,TANS Perú,46,44,A1,approach,suspected,human_error,pilot & crew error
283,2003-03-06,Boeing 737-2T4,Tamanrasset Airport ,Algeria,7T-VEZ,Air Algérie,102,60,A1,initial_climb,probable,mechanical,engine failure
284,2003-03-27,DHC-6 Twin Otter 300,near Mulia,Indonesia,PK-WAY,Air Regional,4,20,A1,en_route,unknown,unknown,unknown
285,2003-05-26,Yakovlev 42D,near Maçka,Turkey,UR-42352,Union de Transports Aériens,75,53,A1,approach,probable,human_error,crew error
286,2003-06-22,Canadair CL-600-2B19 Regional,near Brest-Guipavas Airport,France,F-GRJS,Brit Air,1,15,A1,approach,confirmed,human_error,crew error
287,2003-07-08,Boeing 737-2J8C,near Port Sudan,Sudan,ST-AFK,Sudan Airways,116,64,A1,approach,confirmed,mechanical,engine failure
288,2003-07-13,Let L-410UVP-E,near San Cristobal,Venezuela,YV-1060CP,Ruiban and Duran,4,20,A1,en_route,unknown,unknown,unknown
289,2003-07-19,Swearingen SA226-TC Metro II,Mount Kenya,Kenya,ZS-OYI,Ryan Blake Air Charter,14,29,A1,en_route,unknown,unknown,unknown
290,2003-08-24,Let L-410UVP-E3,near Cap Haitien Airport,Haiti,HH-PRV,Tropical Airways,21,33,A1,en_route,probable,mechanical,mechanical failure
291,2003-11-08,Shorts SC.7 Skyvan 3M-100,near Ogle,Guyana,8R-GMC,Trans Guyana Airways,2,17,A1,initial takeoff,confirmed,mechanical,engine failure
292,2003-12-16,DHC-3 Turbo Otter,"near Jellicoe, ON",Canada,C-GOFF,Huron Air,2,17,A1,takeoff,probable,human_error,pilot error
293,2003-12-25,Boeing 727-223,Cotonou Airport,Benin,3X-GDO,Union de Transports Aériens,141,69,A1,takeoff,confirmed,human_error,overloaded
294,2004-01-03,Boeing 737-3Q8,near Sharm el Sheikh,Egypt,SU-ZCF,Flash Airlines,148,71,A1,en_route,unknown,unknown,unknown
295,2004-01-13,Yakovlev 40,Tashkent Airport,Uzbekistan,UK-87985,Uzbekistan Airways,37,40,A1,landing,probable,weather,bad weather
296,2004-01-28,Beechcraft 1900D,near Ghardaia-Noumerate Airport ,Algeria,7T-VIN,Tassili Airlines,1,15,A1,approach,probable,human_error,atc error
297,2004-02-10,Fokker 50,near Sharjah Airport,UAE,EP-LCA,Kish Air,43,43,A1,approach,unknown,unknown,unknown
298,2004-05-11,Antonov 12BP,near Dalang,Sudan,ST-SIG,El Magal Aviation,1,15,A1,unknown,probable,weather,bad weather
299,2004-05-14,Embraer 120ER Brasilia,"near Manaus, AM",Brazil,PT-WRO,Rico Linhas Aéreas,33,39,A1,approach,unknown,unknown,unknown
300,2004-06-08,Hawker Siddeley HS-748-232 Srs,near Libreville Airport,Gabon,TR-LFW,Gabon Express,19,32,A1,en_route,suspected,mechanical,mechanical failure
301,2004-06-26,Lisunov Li-2T,near Moskva-Myachkovo Airport,Russia,RA-1300K,FLA RF,2,17,A1,en_route,probable,mechanical,engine failure
302,2004-08-24,Tupolev 134A-3,near Buchalki,Russia,RA-65080,Volga-Aviaexpress,44,43,C1,en_route,confirmed,criminal,"collision, suicide bombing"
303,2004-08-24,Tupolev 154B-2,near Gluboki,Russia,RA-85556,Sibir Airlines,46,44,C1,en_route,confirmed,criminal,"collision, suicide bombing"
304,2004-10-19,British Aerospace 3201 Jetstream,"near Kirksville Regional Airport, MO",USA,N875JX,"Corporate Airlines, operating for AmericanConnection",13,28,A1,approach,confirmed,human_error,pilot error
305,2004-11-18,British Aerospace 3101 Jetstream,Caracas-Simón Bolívar International Airport ,Venezuela,YV-1083C,Venezolana,4,20,A1,landing,confirmed,weather,low visibility
306,2004-11-21,Canadair CL-600-2B19 Regional,near Baotou Airport,China,B-3072,China Yunnan,55,47,A1,initial_climb,confirmed,weather,icing
307,2004-11-28,Canadair CL-600-2A12 Challenger,Montrose Cou...,USA,N873G,"Hop-A-Jet Inc, operating for Global Aviation",3,19,A1,takeoff,probable,human_error,crew error
308,2004-11-30,MBB HFB-320 Hansa Jet,"Howell Island, MO",USA,N604GA,Grand Aire Express,2,17,A1,en_route,probable,human_error,pilot & maintenance error
309,2004-11-30,MD-82,Solo City-Adi Sumarmo Airport,Indonesia,PK-LMN,Lion Air,25,35,A1,landing,suspected,weather,wet runway
310,2005-02-03,Boeing 737-242,near Kabul,Afghanistan,EX-037,"Phoenix Aviation, operating for Kam Air",104,61,A1,en_route,suspected,weather,low visibility
311,2005-02-22,DHC-6 Twin Otter 300,near Wobegon,Papua New Guinea,P2-MFQ,MAF,2,17,A1,Approach,suspected,weather,low visibility
312,2005-03-16,Antonov 24RV,near Varandey,Russia,RA-46489,"Kuzbassaviafrakht, operating for Regional Airlines",28,36,A1,Approach,suspected,human_error,pilot & crew error
313,2005-03-26,Let L-410UVP-E,Providencia-El Embrujo Airport ,Colombia,HK-4146,West Caribbean Airways,9,25,A1,initial_climb,probable,mechanical,engine failure
314,2005-04-12,DHC-6 Twin Otter 100,near Enarotali,Indonesia,PK-LTZ,GT Air,17,31,A1,en_route,unknown,unknown,unknown
315,2005-04-20,Boeing 707-3J9C,Tehran-Mehrabad Airport ,Iran,EP-SHE,Saha Air,3,19,A1,Landing,probable,mechanical,mechanical failure
316,2005-05-05,Antonov 26,near Kisangani,Congo (Democratic Republic),,"Aeroworld, operating for Kisangani Airlift",10,26,A1,Approach,suspected,human_error,pilot error
317,2005-05-07,Swearingen SA227-DC Metro 23,near Lockhart River Airport,Australia,VH-TFU,"Transair Australia, operating for Aero-Tropics",15,29,A1,Approach,probable,human_error,pilot & crew error
318,2005-05-25,Antonov 12BP,near Biega,Congo (Democratic Republic),9Q-CVG,Victoria Air,27,36,A1,en_route,unknown,unknown,unknown
